osd_accession,tissue_type,environment,shannon_mean,shannon_sd,observed_mean,n
OSD-412,leaf,Ground,2.779378901530932,0.04346100921479466,20.0,5
OSD-412,leaf,Spaceflight,2.835634725559438,0.012125132234235543,20.0,5
OSD-412,root,Ground,2.767863128900644,0.05292428597999496,20.0,5
OSD-412,root,Spaceflight,2.7297970869170425,0.074478866563275,20.0,5
OSD-412,substrate,Ground,2.7441806382910614,0.06200626974271493,20.0,5
OSD-412,substrate,Spaceflight,2.7950936041846326,0.02794411778721635,20.0,4
OSD-412,swab,Ground,2.719204333648721,0.12690100725399484,20.0,4
OSD-412,swab,Spaceflight,2.6916284008960405,0.11278963795984033,20.0,5
OSD-412,wick,Ground,2.7956416683262493,0.06263944210042068,20.0,4
OSD-412,wick,Spaceflight,2.790776268224728,0.0580198036797644,20.0,5
OSD-413,leaf,Ground,2.822793575680856,0.05643717363385007,20.0,5
OSD-413,leaf,Spaceflight,2.813155819164888,0.08450475959045309,20.0,5
OSD-413,root,Ground,2.780857152740757,0.08126789422109199,20.0,5
OSD-413,root,Spaceflight,2.767835205725496,0.04141819930377837,20.0,5
OSD-413,substrate,Ground,2.7471183515255477,0.10249447749003064,20.0,5
OSD-413,substrate,Spaceflight,2.768721708320637,0.07207659022330831,20.0,4
OSD-413,swab,Ground,2.7268140525426134,0.08124113980226585,20.0,4
OSD-413,swab,Spaceflight,2.709310742094405,0.06062875582033339,20.0,5
OSD-413,wick,Ground,2.8471192557123555,0.03413330406463049,20.0,5
OSD-413,wick,Spaceflight,2.744775129383493,0.053069224019582084,20.0,5
OSD-414,leaf,Ground,2.8060882444911357,0.05458611396462673,20.0,5
OSD-414,leaf,Spaceflight,2.7794543207916953,0.04690359709746527,20.0,5
OSD-414,root,Ground,2.805420266152493,0.048733464442208115,20.0,5
OSD-414,root,Spaceflight,2.7609012644993696,0.05136043704787046,20.0,5
OSD-414,substrate,Ground,2.712291446946167,0.05993790803966376,20.0,5
OSD-414,substrate,Spaceflight,2.7480031753268483,0.09341091285964374,20.0,4
OSD-414,swab,Ground,2.679748551201538,0.08674557441488769,20.0,4
OSD-414,swab,Spaceflight,2.6919169253002244,0.09948614763745915,20.0,5
OSD-414,wick,Ground,2.799222760514071,0.06336230185359991,20.0,5
OSD-414,wick,Spaceflight,2.7625377476966664,0.10643636933180904,20.0,5
OSD-766,fruit,Ground,2.7361877343382437,0.08418722553673032,20.0,10
OSD-766,fruit,Spaceflight,2.7019685442423707,0.08976658212459303,20.0,11
OSD-766,leaf,Ground,2.8015198316768326,0.03996151697891752,20.0,10
OSD-766,leaf,Spaceflight,2.7727752176623244,0.07358907316320981,20.0,11
OSD-766,root,Ground,2.7793421115459314,0.04166944542109417,20.0,11
OSD-766,root,Spaceflight,2.750921489189125,0.07325645385517164,20.0,10
OSD-766,substrate,Ground,2.799313072299235,0.035791690232303726,20.0,10
OSD-766,substrate,Spaceflight,2.7661093413416338,0.04669082821327453,20.0,10
OSD-766,swab,Ground,2.6939144612784047,0.08487286214727469,20.0,10
OSD-766,swab,Spaceflight,2.6671319389551718,0.09980959958051144,20.0,10
OSD-766,water,Ground,2.711821293273078,0.06555670969549478,20.0,10
OSD-766,water,Spaceflight,2.634198687873122,0.06731260085268519,20.0,10
OSD-766,wick,Ground,2.8161073812470843,0.06236770099406925,20.0,11
OSD-766,wick,Spaceflight,2.7472457465024336,0.06074661779766579,20.0,10
OSD-772,fruit,Ground,2.7823503727977412,0.06929730960115109,20.0,9
OSD-772,fruit,Spaceflight,2.715378954576145,0.0861659850152844,20.0,10
OSD-772,leaf,Ground,2.7427551039496407,0.04143321387469405,20.0,10
OSD-772,leaf,Spaceflight,2.7655151820299717,0.07313287545250566,20.0,10
OSD-772,root,Ground,2.845080616234476,0.03488031915336327,20.0,10
OSD-772,root,Spaceflight,2.781684769890446,0.059969271652010527,20.0,9
OSD-772,substrate,Ground,2.780232460326244,0.042741404033745344,20.0,10
OSD-772,substrate,Spaceflight,2.723961717545702,0.04007580513690977,19.88888888888889,9
OSD-772,swab,Ground,2.6932729990783852,0.08297811837464877,20.0,9
OSD-772,swab,Spaceflight,2.722618114249111,0.11446898563463667,20.0,10
OSD-773,fruit,Spaceflight,2.725434058714545,0.05024438550854784,20.0,10
OSD-773,leaf,Spaceflight,2.7249749495348503,0.06817354272588756,20.0,10
OSD-773,root,Ground,2.7955296890202215,0.03742038079824782,20.0,10
OSD-773,substrate,Ground,2.7698393210249854,0.05833889426664443,20.0,10
OSD-773,swab,Ground,2.7312376271722263,0.06198752799003229,20.0,10
OSD-773,water,Spaceflight,2.6839355073239126,0.07373143692723744,19.9,10
