genus,human_assoc,plant_assoc,root_pref,niche_breadth,flight_lfc,prevalence,mean_ra,cv_ra,assoc_beneficial,assoc_plant_pathogen,assoc_human_pathogen,prior,P_beneficial,P_plant_pathogen,P_human_pathogen,plant_pathogen_risk,human_pathogen_risk,guild_call,confidence
Bacillus,0.5454024806946431,0.3532061531739328,0.5257971434242423,1.9290951947658441,-0.3557816076379868,1.0,0.0498785727668842,0.64255682959081,0.0,0.0,0.0,beneficial,1.0,0.0,0.0,0.0,0.0,beneficial,1.0
Massilia,0.4797761226523249,0.3701715586745863,0.5463415772527881,1.926207638163666,-0.35910669724573957,1.0,0.04492353799257074,0.6060188183688735,0.0,0.0,0.0,unlabelled,1.0,0.0,0.0,0.0,0.0,beneficial,1.0
Methylobacterium,0.44899588182741096,0.418509891530265,0.24567238385198634,1.8753837385378003,-0.30972037660555163,1.0,0.04061135693192298,0.7532016224695943,0.0,0.0,0.0,beneficial,1.0,0.0,0.0,0.0,0.0,beneficial,1.0
Paenibacillus,0.4994588138710768,0.4043210871802323,0.623554814128577,1.8962821177536164,-0.41280899233533463,1.0,0.0406856084230541,0.6659861968959552,0.0,0.0,0.0,beneficial,1.0,0.0,0.0,0.0,0.0,beneficial,1.0
Sphingomonas,0.4421255378866992,0.3949627887577967,0.35915575253817594,1.9238277506012469,-0.384109232474274,1.0,0.049029372205098544,0.651847800295381,0.0,0.0,0.0,beneficial,1.0,0.0,0.0,0.0,0.0,beneficial,1.0
Streptomyces,0.5175182892979879,0.39662537720059066,0.6151596911644538,1.8885737009184491,-0.42538344163996955,1.0,0.04217895656114206,0.6821762140626902,0.0,0.0,-0.3084043844489002,beneficial,1.0,0.0,0.0,0.0,0.0,beneficial,1.0
Chryseobacterium,0.4690531977908074,0.3231687422461362,0.5014646748969375,1.9405281127162388,-0.2989759487077192,1.0,0.046530694532634365,0.6149168688244301,0.0,0.0,0.0,unlabelled,0.999,0.0,0.001,0.0,0.001,beneficial,0.999
Flavobacterium,0.502182649388253,0.2663807641669786,0.5580138016654441,1.9115786839675577,-0.38129280534893234,1.0,0.04969402764244926,0.6227261173034448,0.0,0.0,0.0,unlabelled,0.998,0.0,0.002,0.0,0.002,beneficial,0.998
Variovorax,0.32235845455245693,0.3361569208565251,0.5688820979112166,1.894355912658158,-0.33278594621543195,1.0,0.04253471891082848,0.7200033083527706,0.0,0.0,-0.3298697624171547,beneficial,0.998,0.002,0.0,0.001,0.0,beneficial,0.998
Burkholderia,0.3455542610147659,0.4284648218123657,0.6884884779617437,1.8762703330105501,-0.5497543364990304,1.0,0.04038576026934348,0.740023472115275,0.365550058731234,0.0,-0.6225221727249457,unlabelled,0.996,0.004,0.0,0.003,0.0,beneficial,0.996
Rhizobium,0.3242460248588844,0.4576495531123778,0.6793471301983174,1.8771432186124482,-0.4861082379836886,1.0,0.040309573040892076,0.7413626668431709,0.0,0.0,-1.0008674339901353,beneficial,0.996,0.004,0.0,0.003,0.0,beneficial,0.996
Pantoea,0.37307608142768506,0.4573599455739631,0.34635436973277967,1.865273492744167,0.7216428600177821,1.0,0.061698677544361716,0.6964093607660835,0.0,0.0,0.0,unlabelled,0.627,0.022,0.351,0.016,0.241,beneficial,0.627
Acinetobacter,0.5866002799202864,0.24352999710931944,0.3918968569651863,1.9090804767996645,0.7491733837740495,1.0,0.0671305897848706,0.5637687108331901,-0.635196850683034,0.0,0.0,human_pathogen,0.0,0.0,1.0,0.0,0.793,human_pathogen,1.0
Cutibacterium,0.7788665822446925,0.19140011241522292,0.28165367417903325,1.676778702812579,-0.6018080943404036,1.0,0.03457447401414446,1.1168648606860978,-0.63289206313822,-0.521954090425278,0.4441813208954585,human_pathogen,0.0,0.0,1.0,0.0,0.889,human_pathogen,1.0
Staphylococcus,0.8085873133716664,0.15090286361656682,0.35277974481080004,1.7193589836599135,-0.3395928127264466,0.9978308026030369,0.036515320544877404,1.0794175310402048,-0.3710526670349363,-0.40648578998102725,0.4441813208954585,human_pathogen,0.0,0.0,1.0,0.0,0.904,human_pathogen,1.0
Stenotrophomonas,0.5430048251749564,0.2966330151611219,0.5140500647656528,1.9408723335842426,0.6371375136352758,1.0,0.07011662094966364,0.507903968210439,0.0,0.0,0.0,human_pathogen,0.0,0.0,1.0,0.0,0.771,human_pathogen,1.0
Enterobacter,0.5102962016961098,0.313252825017758,0.527521708330754,1.9256522114999997,0.48059804567448283,1.0,0.06917482699196492,0.5240541254712275,0.0,0.0,0.0,human_pathogen,0.0,0.001,0.999,0.0,0.755,human_pathogen,0.999
Pseudomonas,0.4338845568003265,0.2970900646869727,0.5449396371985487,1.9139274004898403,0.4945960159328152,1.0,0.07367891986705823,0.5342382657422673,0.0,0.0,-0.36754618577687526,unlabelled,0.001,0.058,0.941,0.038,0.675,human_pathogen,0.941
Curtobacterium,0.36792810261380887,0.5364476692508848,0.3878144141960722,1.8476454091915033,-0.264857522260618,0.9978308026030369,0.0395696891360991,0.7624898891678584,0.0,0.0,0.0,plant_pathogen,0.0,1.0,0.0,0.768,0.0,plant_pathogen,1.0
Ralstonia,0.2825491677627952,0.3499023409336997,0.6286643600987807,1.8669880106947727,0.4266848057945557,1.0,0.060778701890139654,0.6577804182018202,0.0,0.0,-0.9284398804063052,plant_pathogen,0.006,0.993,0.001,0.67,0.001,plant_pathogen,0.993
