osd_accession,environment,phylum,mean_rel
OSD-412,Ground,Actinomycetota,0.6704563107688705
OSD-412,Ground,Bacillota,0.7965578456117381
OSD-412,Ground,Bacteroidota,0.5304690588770746
OSD-412,Ground,Pseudomonadota,3.002516784742317
OSD-412,Spaceflight,Actinomycetota,0.5791012703089484
OSD-412,Spaceflight,Bacillota,0.6145811593633003
OSD-412,Spaceflight,Bacteroidota,0.44902761307575095
OSD-412,Spaceflight,Pseudomonadota,3.3572899572520005
OSD-413,Ground,Actinomycetota,0.704460129290445
OSD-413,Ground,Bacillota,0.7205020673666396
OSD-413,Ground,Bacteroidota,0.5592962649509811
OSD-413,Ground,Pseudomonadota,3.0157415383919344
OSD-413,Spaceflight,Actinomycetota,0.5034395048440068
OSD-413,Spaceflight,Bacillota,0.6172308943976572
OSD-413,Spaceflight,Bacteroidota,0.4249560419996248
OSD-413,Spaceflight,Pseudomonadota,3.454373558758711
OSD-414,Ground,Actinomycetota,0.7059310529787723
OSD-414,Ground,Bacillota,0.6635100835351998
OSD-414,Ground,Bacteroidota,0.5113536804776581
OSD-414,Ground,Pseudomonadota,3.11920518300837
OSD-414,Spaceflight,Actinomycetota,0.4952337978538802
OSD-414,Spaceflight,Bacillota,0.5857225091556731
OSD-414,Spaceflight,Bacteroidota,0.40584685103550544
OSD-414,Spaceflight,Pseudomonadota,3.513196841954941
OSD-766,Ground,Actinomycetota,0.8615548705555128
OSD-766,Ground,Bacillota,1.0143319454432815
OSD-766,Ground,Bacteroidota,0.7551205367268687
OSD-766,Ground,Pseudomonadota,4.368992647274337
OSD-766,Spaceflight,Actinomycetota,0.6446762875605289
OSD-766,Spaceflight,Bacillota,0.7866318955809398
OSD-766,Spaceflight,Bacteroidota,0.570509326300023
OSD-766,Spaceflight,Pseudomonadota,4.998182490558508
OSD-772,Ground,Actinomycetota,0.71513475220251
OSD-772,Ground,Bacillota,0.6777138480671365
OSD-772,Ground,Bacteroidota,0.5801750237558514
OSD-772,Ground,Pseudomonadota,3.026976375974502
OSD-772,Spaceflight,Actinomycetota,0.5022284923387755
OSD-772,Spaceflight,Bacillota,0.568367124117751
OSD-772,Spaceflight,Bacteroidota,0.42754193708442667
OSD-772,Spaceflight,Pseudomonadota,3.5029352624566594
OSD-773,Ground,Actinomycetota,0.4100619463847154
OSD-773,Ground,Bacillota,0.4699802056787195
OSD-773,Ground,Bacteroidota,0.27973893633311164
OSD-773,Ground,Pseudomonadota,1.8402189116034535
OSD-773,Spaceflight,Actinomycetota,0.3083726560148371
OSD-773,Spaceflight,Bacillota,0.25105519158128214
OSD-773,Spaceflight,Bacteroidota,0.2667326302085817
OSD-773,Spaceflight,Pseudomonadota,2.1755150460353736
